reconstruction_error,anomaly,severity,estimated_RUL
102.91582328207498,0,Normal,6408.812541049136
101.76869295149528,0,Normal,7763.084332219604
145.9455451883537,0,Normal,3251.4520489815804
127.78105521051188,0,Normal,4264.789084829781
147.5606896550268,0,Normal,2510.6068386595257
106.35195611657808,0,Normal,5239.3992802700195
124.23492556130986,0,Normal,4106.643818024833
101.26794771519816,0,Normal,6319.442684771207
133.39547616566549,0,Normal,3793.580703540405
94.4170609137714,0,Normal,7681.24005143622
143.6124049865867,0,Normal,3276.3389478713266
139.38964072742894,0,Normal,3156.0797853740332
113.02062005656995,0,Normal,4952.839654978228
116.05627787213923,0,Normal,4957.733870139313
124.33364213883902,0,Normal,4359.057292249178
135.18121674797916,0,Normal,3386.178652229183
97.17370252510727,0,Normal,6546.997494153719
93.12723810345084,0,Normal,8527.028585390311
109.8853838342606,0,Normal,7893.00235329501
113.49227304845742,0,Normal,8146.541644073169
116.18508681677736,0,Normal,8279.859743556151
110.9252538821866,0,Normal,9889.404718452053
92.19278728813,0,Normal,18288.068938114215
128.3905812032796,0,Normal,10319.910249275596
116.67238290037103,0,Normal,12902.206333012073
135.32811271107497,0,Normal,7890.443524600028
119.62183992846948,0,Normal,10126.362741838253
121.40517142992957,0,Normal,9783.967900495256
105.47011811243586,0,Normal,14783.642565513153
106.24861216282444,0,Normal,18832.86228315841
102.8575835700157,0,Normal,29922.465120863948
127.90054848799308,0,Normal,17482.49318080536
99.5013158334866,0,Normal,49719.64938810799
101.54297761753035,0,Normal,375517.1592135728
91.01691846884565,0,Normal,inf
116.41093809138684,0,Normal,inf
100.41415022614176,0,Normal,inf
101.0375587467679,0,Normal,inf
125.63816507643122,0,Normal,inf
100.64073891496268,0,Normal,inf
137.1772414966773,0,Normal,inf
124.84376366592444,0,Normal,inf
115.8822834922438,0,Normal,inf
107.67817375135633,0,Normal,inf
172.295999188747,0,Low,inf
91.84516595908276,0,Normal,inf
103.7908537760864,0,Normal,inf
122.07865550683,0,Normal,inf
136.220948725469,0,Normal,inf
134.13731988607023,0,Normal,inf
89.66020908187613,0,Normal,inf
123.87838365024822,0,Normal,inf
54.95573772277089,0,Normal,inf
159.0952401288564,0,Low,inf
126.06462522208663,0,Normal,inf
99.45175119659731,0,Normal,inf
124.89394521753202,0,Normal,inf
81.26357348012868,0,Normal,inf
127.91318458588536,0,Normal,inf
119.48550840484404,0,Normal,inf
110.45105182222694,0,Normal,inf
133.40498935369348,0,Normal,inf
113.68425091491645,0,Normal,inf
94.53463412467336,0,Normal,inf
107.45374984986644,0,Normal,inf
135.81314089135273,0,Normal,inf
163.03269282885438,0,Low,inf
107.56806857471706,0,Normal,inf
108.95907784585548,0,Normal,inf
166.41539095715066,0,Low,inf
150.14336514369688,0,Normal,inf
122.93413776389492,0,Normal,inf
99.58946962685977,0,Normal,inf
103.5676608997997,0,Normal,inf
133.73760084336683,0,Normal,inf
75.51201109194933,0,Normal,inf
108.20123092298373,0,Normal,inf
139.3401166541784,0,Normal,inf
128.31546073407551,0,Normal,inf
154.75526257121336,0,Low,inf
